"pth","Points:0","Points:1","Points:2"
0.5,0.0084375,0.0053044,0
0.5,0.028063,0.0053044,0
0.5,0.028,0.0054127,0
0.5,0.029438,0.0042219,0
0.5,0.033937,0.0079025,0
0.5,0.033812,0.0079025,0
0.5,0.028126,0.0051962,0
0.5,0.026063,0.00075777,0
0.5,0.025938,0.00075777,0
0.5,0.031387,0.001299,0
0.5,0.031444,0.0012013,0
0.5,0.004625,0.0073612,0
0.5,0.0046875,0.007253,0
0.5,0.024125,0.00086603,0
0.5,0.024188,0.00075778,0
0.5,0.0029375,0.0022733,0
0.5,0.0096875,0.0042219,0
0.5,0.0095625,0.0042219,0
0.5,0.0081875,0.0055209,0
0.5,0.035688,0.0079025,0
0.5,0.035812,0.0079025,0
0.5,0.00125,0.0019486,0
0.5,0.024375,0.0021651,0
0.5,0.024313,0.0020568,0
0.5,0.027562,0.00075777,0
0.5,0.027687,0.00075777,0
0.5,0.018937,0.0055209,0
0.5,0.018813,0.0055209,0
0.5,0.011313,0.0035724,0
0.5,0.011375,0.0034641,0
0.5,0.0031875,0.0022733,0
0.5,0.0030625,0.0022733,0
0.5,0.026437,0.0092013,0
0.5,0.026312,0.0092018,0
0.5,0.027188,0.0031393,0
0.5,0.02725,0.0032476,0
0.5,0.034875,0.0017321,0
0.5,0.030868,0.0090894,0
0.5,0.025188,0.0092022,0
0.5,0.0305,0.0032476,0
0.5,0.027118,0.0030311,0
0.5,0.032562,0.0014073,0
0.5,0.039062,0.0040054,0
0.5,0.030187,0.00075777,0
0.5,0.030062,0.00075777,0
0.5,0.036563,0.0074695,0
0.5,0.027938,0.0055209,0
0.5,0.027812,0.0055209,0
0.5,0.027125,0.0060622,0
0.5,0.0098125,0.008119,0
0.5,0.0099375,0.008119,0
0.5,0.028562,0.00075777,0
0.5,0.028687,0.00075777,0
0.5,0.030312,0.00075777,0
0.5,0.029879,0.0069282,0
0.5,0.03525,0.0071447,0
0.5,0.035313,0.0070365,0
0.5,0.028312,0.00075777,0
0.5,0.028437,0.00075777,0
0.5,0.025813,0.00075777,0
0.5,0.029768,0.0032476,0
0.5,0.029822,0.0031554,0
0.5,0.028813,0.0042219,0
0.5,0.01125,0.0036806,0
0.5,0.037813,0.0042219,0
0.5,0.024187,0.0020568,0
0.5,0.027688,0.0035724,0
0.5,0.027813,0.0035724,0
0.5,0.0098125,0.0018403,0
0.5,0.0099375,0.0018403,0
0.5,0.0098125,0.0042219,0
0.5,0.021125,0.0047631,0
0.5,0.021063,0.0048714,0
0.5,0.031,0.0010825,0
0.5,0.030938,0.00097428,0
0.5,0.0049375,0.0027063,0
0.5,0.0061875,0.007686,0
0.5,0.0062502,0.0075777,0
0.5,0.030875,0.00086603,0
0.5,0.026,0.0032476,0
0.5,0.025938,0.0031393,0
0.5,0.0066873,0.0081187,0
0.5,0.0065627,0.0081187,0
0.5,0.0016875,0.0020568,0
0.5,0.0064375,0.0035724,0
0.5,0.0065625,0.0035724,0
0.5,0.02125,0.0067117,0
0.5,0.00093768,0.0081191,0
0.5,0.00080972,0.0081253,0
0.5,0.0068125,0.008119,0
0.5,0.018938,0.008552,0
0.5,0.018813,0.008552,0
0.5,0.018688,0.008552,0
0.5,0.018563,0.008552,0
0.5,0.010063,0.0018403,0
0.5,0.019188,0.008552,0
0.5,0.019063,0.008552,0
0.5,0.036625,0.0025981,0
0.5,0.007875,0.0056292,0
0.5,0.024813,0.0092019,0
0.5,0.024688,0.0092022,0
0.5,0.029625,0.0047631,0
0.5,0.029688,0.0046549,0
0.5,0.035938,0.0022733,0
0.5,0.036063,0.0022733,0
0.5,0.028438,0.0059539,0
